smelly,lines_code,lines_blank,lines_comment,num_keys,num_suspicious_comments,num_tokens,text_entropy,num_imports,num_inputs,num_interfaces,num_node_templates,num_node_types,num_parameters,num_properties,num_relationship_templates,num_relationship_types,num_shell_scripts
0,23.0,0.0,0.0,21.0,0.0,43.0,4.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,34.0,0.0,0.0,32.0,0.0,49.0,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,15.0,0.0,0.0,15.0,0.0,26.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0,16.0,0.0,0.0,15.0,0.0,41.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0,28.0,0.0,0.0,27.0,0.0,72.0,5.23,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0,11.0,0.0,0.0,10.0,0.0,15.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14.0,0.0,0.0,14.0,0.0,21.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,19.0,0.0,0.0,19.0,0.0,29.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1,73.0,0.0,0.0,55.0,0.0,353.0,6.69,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
1,51.0,0.0,0.0,42.0,0.0,222.0,6.38,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0,19.0,0.0,0.0,18.0,0.0,42.0,4.91,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
