lcot,lines_code,num_capabilities,num_imports,num_inputs,num_interfaces,num_keys,num_node_templates,num_node_types,num_properties,num_relationship_templates,num_relationship_types,num_requirements,num_suspicious_comments,num_tokens,text_entropy,url
1.0,75.0,3.0,3.0,0.0,1.0,77.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,146.0,6.44,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/monitoring/graphite/types.yml
6.0,89.0,3.0,4.0,0.0,0.0,89.0,6.0,0.0,13.0,0.0,0.0,5.0,0.0,158.0,6.27,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/topology-nodecellar/nodecellar-template.yml
5.0,226.0,11.0,14.0,0.0,0.0,223.0,7.0,0.0,69.0,0.0,0.0,7.0,0.0,476.0,7.24,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/topologies/cfy411_aws/types.yml
1.0,49.0,0.0,3.0,0.0,1.0,53.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,102.0,5.61,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/config/csar/types.yml
6.0,111.0,6.0,3.0,0.0,0.0,108.0,6.0,0.0,31.0,0.0,0.0,5.0,0.0,184.0,6.14,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/doc/kube/topology/05-nodecellar-mongo/tosca.yaml
1.0,135.0,1.0,4.0,0.0,4.0,157.0,0.0,1.0,5.0,0.0,3.0,3.0,1.0,328.0,6.46,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/monitoring/diamond/agent_linux/types.yml
6.0,130.0,10.0,6.0,0.0,0.0,125.0,6.0,0.0,48.0,0.0,0.0,5.0,0.0,224.0,6.39,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/topology-petclinic-postgresql/topology-petclinic-postgresql.yml
1.0,28.0,0.0,4.0,0.0,1.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,54.0,5.63,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/patches/change_max_fd/types.yml
1.0,30.0,0.0,4.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,5.59,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/config/location_resources/on_demand/types.yml
2.0,51.0,3.0,2.0,0.0,0.0,52.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,99.0,6.09,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/topology-mongo/mongo-type.yml
