id,url,smelly,lines_code
210,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/samba/samba_sh/scripts/smbClient/install.sh,,2.0
680,https://raw.githubusercontent.com/laurentganne/tosca-samples/master/monitoring/client/types/impl/diamond/playbook/configure.yml,,9.0
58,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/vault/vault_sh/scripts/vault/create_vault.sh,,26.0
396,https://raw.githubusercontent.com/shayn1234/Clearwater-new/master/yaml/scripts/homestead.sh,,
244,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/terraform/openstack/scripts/tf_rel_sg_remove_target.sh,,
654,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/kubernetes/linux/ansible/playbooks/commons/kubeadm/start.yaml,,9.0
674,https://raw.githubusercontent.com/lexis-project/application-templates/master/weather-climate/components/wps/playbooks/install_drops2.yaml,,32.0
726,https://raw.githubusercontent.com/radon-h2020/demo-lambda-thumbgen-tosca-datapipeline/master/single-node-example/nodetypes/vm/delete.yml,,7.0
422,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/kafka/linux/bash/scripts/createKafkaTopic.sh,,
652,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/samples/tcp-echo/ansible/playbooks/echo-start.yaml,,37.0
790,https://raw.githubusercontent.com/radon-h2020/demo-lambda-thumbgen-tosca-datapipeline/master/nodetypes/radon/nodes/nifi/nifipipeline/files/start.yml,,47.0
617,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/logstash/linux/bash/twitter/twitter_addFollows.sh,,
679,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/nfs/linux/ansible/playbooks/create_client.yml,,25.0
735,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/munge/ansible/playbooks/create.yaml,,56.0
179,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/sandbox/services/dummy/implem/scripts/create.sh,,1.0
528,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/rstudio/linux/bash/scripts/rstudio_install.sh,,
600,https://raw.githubusercontent.com/WF-ShAre/NJ-WF/master/scripts/wine-install.sh,,
791,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/yorc/yorc/linux/ansible/playbooks/configure_hostspool_secrets.yml,,6.0
91,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/cloudera/linux/bash/scripts/clouderamanager_config.sh,,
